name,price,size,Stadteil in Hamburg,adresse,date,wg_size,links
Möbliertes 10 qm großes WG-Zimmer in Hamburg Billstedt zum 01.03,11 m²,18 m²,Hamburg Eilbek, Wandsbeker Chaussee 27,05.05.2025 - 31.12.2025,2er WG,#
"(Verfügbar 1-24 Monate) - Privatzimmer in Uhlenhorst, Hamburg",649 €,12 m²,Hamburg Ottensen, Große Brunnenstraße,01.03.2025 - 01.06.2025,2er WG,/info/anbieter
Möbliertes WG-Zimmer zentral im schönen Ottensen (befristet),9 m²,12 m²,Hamburg Billstedt, Druckerstraße 17,01.04.2025,4er WG,/info/magazin
Möbliertes 12 qm großes WG-Zimmer zum 01.04. in Hamburg Billstedt,639 €,11 m²,Hamburg St. Pauli, Wohlwillstraße 45,01.03.2025,4er WG,/mietrecht.html
Unmöbliertes 10 qm WG-Zimmer zum 01.03. über den Dächern von St.Pauli / Schanze - 4er WG mit Dachterrasse,8 m²,11 m²,Hamburg Harburg, Hastedtstraße 20,01.03.2025,7er WG,/info/netiquette
Unmöbliertes 15 qm großes WG-Zimmer zum 01.03. in Hamburg - Harburg,660 €,15 m²,Hamburg Harburg, Metzenberg,08.02.2025,3er WG,/info/schufa-bonitaetscheck
"Möbiliertes Frauen WG Zimmer 14 ,8 qm ++Erstbezug nach Sanierung",30 m²,13 m²,Hamburg Horn, Posteltsweg 2,01.03.2025,3er WG,/info/itsmydata
Unmöbliertes 13 qm großes WG-Zimmer in schöner 3er WG zum 01.03. in Hamburg Horn,649 €,20 m²,Hamburg Marienthal, Gehölzweg 10,01.06.2025 - 30.11.2025,5er WG,/info/sicherheit
Internationale WG (4),17 m²,21 m²,Hamburg Marienthal, Gehölzweg 10,01.03.2025 - 31.08.2025,5er WG,/info/wg-suche
Internationale WG (2),649 €,14 m²,Hamburg Winterhude, Dorotheenstraße 5,15.12.2024,3er WG,/info/wg-arten
WG Zimmer am Mühlenkamp,11 m²,12 m²,Hamburg Kirchsteinbek, Steinbeker Markt,08.02.2025,2er WG,/info/wg-ratgeber
"Befristetes WG-Zimmer/Untermiete ab April 2025 zur Kurzzeitmiete (4-8 Wochen), evtl. etwas früher n.A.",659 €,24 m²,Hamburg Eimsbüttel, Klosterallee 67,10.02.2025 - 31.12.2025,2er WG,/info/wohnen-in
"(Verfügbar 1-24 Monate) - Privatzimmer in Hoheluft, Hamburg",12 m²,11 m²,Hamburg Eilbek, Schellingstraße 13c vorne,08.04.2025 - 31.12.2025,2er WG,/fuer-immobilienprofis.html
Privatzimmer in Studenten-WG mittel- oder langfristig zu vermieten,Mein Alter,15 m²,Hamburg Altona-Altstadt, Behnstraße,01.04.2025,2er WG,https://www.wg-gesucht.de/
"Befristetes WG-Zimmer/Untermiete ab April 2025 zur Kurzzeitmiete (4-8 Wochen), evtl. etwas früher n.A.",659 €,11 m²,Hamburg Eilbek, Schellingstraße 13c vorne,08.04.2025 - 31.12.2025,2er WG,/info/wohnen-in
"(Verfügbar 1-24 Monate) - Privatzimmer in Hasselbrook, Hamburg",12 m²,24 m²,Hamburg Eimsbüttel, Klosterallee 67,10.02.2025 - 31.12.2025,2er WG,/fuer-immobilienprofis.html
"Befristetes WG-Zimmer/Untermiete ab April 2025 zur Kurzzeitmiete (4-8 Wochen), evtl. etwas früher n.A.",659 €,22 m²,Hamburg Winterhude, Poßmoorweg 12,10.02.2025 - 31.12.2025,2er WG,/info/wohnen-in
"(Verfügbar 1-24 Monate) - Private Room in Winterhude, Hamburg",12 m²,15 m²,Hamburg Gut Moor, Schellerdamm 7a,05.05.2025 - 31.12.2025,2er WG,/fuer-immobilienprofis.html
"Befristetes WG-Zimmer/Untermiete ab April 2025 zur Kurzzeitmiete (4-8 Wochen), evtl. etwas früher n.A.",659 €,13 m²,Hamburg Eilbek, Wandsbeker Chaussee 27,05.05.2025 - 31.12.2025,2er WG,/info/wohnen-in
"(Verfügbar 1-24 Monate) - Privatzimmer in Uhlenhorst, Hamburg",12 m²,13 m²,Hamburg Eimsbüttel, Hoheluftchaussee,05.02.2025 - 31.12.2025,2er WG,/fuer-immobilienprofis.html
